case_seed, iteration, entropy, p01, p10, bias, scc, noxor_h_orig, err, percent_err, alg_idx, algorithm
2940bd62c0c14ca20e66f6df6abf194d7b480dde1bbcf576eb675ada56963e40, 30, 0.025000, 0.017578, 0.780518, 0.022025, 0.201904, 0.020646, -0.004354, 17.416000, 4, T-Tuple Test Estimate
2b485e2f6e41d960d10abc1d5315beeddd0fe5bf22ebdd3c572d25f1672bba5c, 31, 0.025000, 0.017578, 0.214057, 0.075887, 0.768365, 0.016955, -0.008045, 32.180000, 3, tCompression Test Estimate
fa08c0d312903d097ffc35b4469a68647fe59ddb98829f2a4cc9f935ce53558b, 32, 0.025000, 0.845310, 0.017578, 0.979629, 0.137112, 0.017634, -0.007366, 29.464000, 3, tCompression Test Estimate
0d19b33942ce762f2ba773552bc741b5f9b744779adce48b3f3709c97f461b7a, 33, 0.025000, 0.017578, 0.806852, 0.021322, 0.175570, 0.016446, -0.008554, 34.216000, 3, tCompression Test Estimate
95f94e4e7c0d021125e3d8ae8f93685d0d2612b3733ebc0482cea5d6dab2e5ca, 34, 0.025000, 0.749944, 0.017578, 0.977098, 0.232477, 0.017064, -0.007936, 31.744000, 4, T-Tuple Test Estimate
7d022b743892994380be20d233243ad724f3fc5caa3f9070aa14c0ebaa8e8341, 35, 0.025000, 0.573454, 0.017578, 0.970259, 0.408968, 0.017022, -0.007978, 31.912000, 4, T-Tuple Test Estimate
481b8b44cd117c86c67d5c55fb743485605a0bebdac2a40acbea982be20c4c3f, 36, 0.025000, 0.017578, 0.350777, 0.047721, 0.631644, 0.016679, -0.008321, 33.284000, 3, tCompression Test Estimate
04da8ab4d135ff4a99f44f641500a90b16a44a15e3431a3a7098bb94ed1391ec, 37, 0.025000, 0.016602, 0.081892, 0.168555, 0.901507, 0.016243, -0.008757, 35.028000, 3, tCompression Test Estimate
85675a10158a515a651b00d80a539f1eb1d0a3ddd83c61402759641e66dd594f, 38, 0.025000, 0.017578, 0.222326, 0.073272, 0.760096, 0.013277, -0.011723, 46.892000, 4, T-Tuple Test Estimate
386463f9861d503449a46854466c09e23f64ea448480c4f801619eefe7c1f7e2, 39, 0.025000, 0.676261, 0.017578, 0.974665, 0.306161, 0.017947, -0.007053, 28.212000, 3, tCompression Test Estimate
b50d2bc507bca359f125e8f2d04b67b2662655d8ecdaf5cd3f771642278e34b4, 40, 0.025000, 0.817747, 0.017578, 0.978957, 0.164675, 0.004907, -0.020093, 80.372000, 4, T-Tuple Test Estimate
9224da069767e146f11ef0cdefb2622441878427e3be390f8dba9c35cd62a6ed, 41, 0.025000, 0.624389, 0.017578, 0.972618, 0.358033, 0.019351, -0.005649, 22.596000, 4, T-Tuple Test Estimate
b06959ae8e5921425ecdd78a16b08a2bd584aca671c286c1ebeb9e0df0605b39, 42, 0.025000, 0.909518, 0.017578, 0.981040, 0.072904, 0.016563, -0.008437, 33.748000, 3, tCompression Test Estimate
61af6c76d5439db8d7c2a6a884f7e5ae0a250fa9aff41087919ffedc378e99c7, 43, 0.025000, 0.468309, 0.017578, 0.963823, 0.514113, 0.017648, -0.007352, 29.408000, 3, tCompression Test Estimate
bac5d2980b0262879b928483ff58a9e0a99b58559512397dd602a458fbc2b0ad, 44, 0.025000, 0.017578, 0.849418, 0.020275, 0.133004, 0.017828, -0.007172, 28.688000, 4, T-Tuple Test Estimate
c86bfd6ae5e4e1e7025ca0aa343f092e049d110a26770afc1df9c257310b3c20, 45, 0.025000, 0.017578, 0.861129, 0.020005, 0.121293, 0.017709, -0.007291, 29.164000, 3, tCompression Test Estimate
3fe004e0bd46a1ed07ab7a30eb12f87db5a2fcc3f9beee0c08c1183d74454944, 46, 0.025000, 0.017578, 0.399112, 0.042185, 0.583310, 0.017155, -0.007845, 31.380000, 3, tCompression Test Estimate
a99e2caac1ba6127b202cc8455838e749522c45c831cc54a0b22e217a6709ad8, 47, 0.025000, 0.157986, 0.017578, 0.899876, 0.824436, 0.016203, -0.008797, 35.188000, 3, tCompression Test Estimate
b20892cad17f080ed30833d38d9a1b3b8a777007e0ceb7a31bf1687001f07af2, 48, 0.025000, 0.350360, 0.017578, 0.952225, 0.632062, 0.020514, -0.004486, 17.944000, 3, tCompression Test Estimate
858c095628c7de6e9b8766ab1461042b5fff635e531067ec52fce133839dc127, 49, 0.025000, 0.017578, 0.306226, 0.054286, 0.676196, 0.015521, -0.009479, 37.916000, 3, tCompression Test Estimate
64a8c2b103759c88421d750a641dfb6f61cd0862a67eb8f950d366e4e88b53eb, 50, 0.025000, 0.016978, 0.997070, 0.016742, -0.014048, 0.003025, -0.021975, 87.900000, 4, T-Tuple Test Estimate
4f12d70c76ebe65161d12c8c3d0f8a114ce0280ca95cbb2d47ec0dab963676e4, 51, 0.025000, 0.017578, 0.664687, 0.025764, 0.317734, 0.017029, -0.007971, 31.884000, 3, tCompression Test Estimate
b096c842769ce68f74646266634e463ad40869d3203309d7b492fd2ead5f71d5, 52, 0.025000, 0.016602, 0.064463, 0.204795, 0.918936, 0.017329, -0.007671, 30.684000, 3, tCompression Test Estimate
